                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3066,                 9.0958,                 1.2966,                 0.0001,                0.00417,                  5e-05,                  1e-05,                 3.6728,                  4.975,                 1.0402,             0.00011669,             0.00011669,             0.00011669
                      2,                 3.5082,                 6.0063,                 1.0569,                 0.0035,                0.14779,                0.00223,                0.00054,                  2.861,                 4.5531,                0.97383,             0.00024757,             0.00024757,             0.00024757
                      3,                  3.269,                 4.8821,                 1.0028,                0.00368,                 0.1674,                0.00239,                0.00048,                 2.7849,                 4.4593,                0.95471,             0.00037582,             0.00037582,             0.00037582
                      4,                 3.0562,                 4.4498,                0.97985,                0.00186,                0.11471,                0.00116,                0.00022,                 2.6805,                 4.4311,                0.96681,             0.00050142,             0.00050142,             0.00050142
                      5,                 3.0756,                 4.0862,                0.96631,                0.00081,                0.04191,                0.00043,                  8e-05,                 2.8563,                 4.4707,                 0.9698,             0.00062438,             0.00062438,             0.00062438
                      6,                 3.1551,                 4.1223,                0.97124,                0.00254,                0.14265,                0.00162,                0.00046,                 2.6881,                 4.3073,                 0.9447,             0.00074471,             0.00074471,             0.00074471
                      7,                 3.0746,                 3.8503,                0.94917,                0.00624,                0.30858,                0.00442,                0.00129,                 2.8059,                 4.1479,                0.95945,             0.00086239,             0.00086239,             0.00086239
                      8,                 2.9664,                 3.5296,                0.94403,                0.00987,                0.52255,                0.07399,                0.02686,                 2.8003,                 3.9228,                0.98179,             0.00097743,             0.00097743,             0.00097743
                      9,                 2.9892,                 3.5046,                0.95566,                0.01291,                0.65221,                0.24304,                0.08687,                 2.6366,                 3.6662,                0.95266,              0.0010898,              0.0010898,              0.0010898
                     10,                 2.9453,                 3.4684,                0.94418,                0.01329,                0.66471,                0.28327,                 0.0803,                 2.6759,                 3.5743,                 0.9529,              0.0011996,              0.0011996,              0.0011996
                     11,                 2.9826,                 3.5164,                0.93625,                0.01356,                0.65466,                0.26362,                0.07324,                 2.6874,                 3.5045,                0.96486,              0.0013067,              0.0013067,              0.0013067
                     12,                 2.8403,                 3.3591,                 0.9366,                0.90544,                0.19608,                 0.3314,                0.09486,                 2.7423,                 3.0573,                0.97297,              0.0014112,              0.0014112,              0.0014112
                     13,                 2.8741,                 3.0982,                0.94228,                0.28238,                0.45245,                0.26775,                0.07094,                 2.9428,                 3.1149,                 1.0233,               0.001469,               0.001469,               0.001469
                     14,                 2.9998,                 3.2836,                0.96314,                0.75454,                0.02941,                0.16836,                0.04624,                 3.0415,                  3.432,                  1.034,               0.001469,               0.001469,               0.001469
                     15,                 2.8063,                 3.1148,                0.93799,                0.34365,                0.32623,                0.31979,                0.08483,                 2.6781,                 2.8221,                0.96642,              0.0014525,              0.0014525,              0.0014525
                     16,                 2.8521,                 3.1009,                0.95144,                0.52538,                0.12521,                0.23755,                0.06897,                 2.8375,                 2.9102,                0.98881,               0.001436,               0.001436,               0.001436
                     17,                 2.7837,                 3.0308,                0.93736,                0.76472,                0.20964,                0.22206,                0.07901,                 2.8986,                 3.0433,                 1.0036,              0.0014195,              0.0014195,              0.0014195
                     18,                 2.6668,                 2.7263,                0.91558,                0.84153,                0.06365,                0.16868,                0.05122,                 3.2123,                 3.4172,                 1.0631,              0.0014029,              0.0014029,              0.0014029
                     19,                 2.7281,                 2.8173,                0.91448,                0.83008,                0.24763,                0.24873,                0.08121,                 2.9304,                 2.8746,                 1.0162,              0.0013864,              0.0013864,              0.0013864
                     20,                 2.7443,                 2.7125,                0.92561,                0.87546,                0.30392,                0.34069,                0.11919,                 2.6568,                 2.5201,                0.96786,              0.0013699,              0.0013699,              0.0013699
                     21,                 2.7612,                 2.7921,                 0.9437,                0.39865,                0.30776,                0.30945,                0.10335,                 2.7355,                 2.4665,                0.98668,              0.0013534,              0.0013534,              0.0013534
