                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2398,                 13.247,                 1.2775,                0.00053,                0.07843,                 0.0003,                  6e-05,                 3.6438,                 6.9719,                0.97207,                0.00014,                0.00014,                0.00014
                      2,                 3.5326,                 8.6233,                 1.0415,                 0.0016,                0.23529,                0.00182,                0.00047,                 2.7771,                  6.018,                0.90382,             0.00029703,             0.00029703,             0.00029703
                      3,                 3.2797,                 7.2294,                 1.0134,                 0.0008,                0.11765,                0.00062,                0.00014,                 2.5297,                 5.9276,                 0.8843,             0.00045089,             0.00045089,             0.00045089
                      4,                 3.1865,                 6.5603,                0.99401,                 0.0012,                0.17647,                0.00113,                0.00035,                 2.6382,                   5.85,                 0.8931,             0.00060159,             0.00060159,             0.00060159
                      5,                 3.0101,                 5.4579,                0.95904,                 0.0012,                0.17647,                0.00094,                 0.0002,                 2.6689,                  5.709,                 0.8786,             0.00074911,             0.00074911,             0.00074911
                      6,                 3.0529,                 5.3363,                0.95952,                0.00093,                0.13725,                0.00078,                0.00016,                 2.6948,                 5.3452,                0.89346,             0.00089347,             0.00089347,             0.00089347
                      7,                 3.0165,                 4.8954,                0.92699,                 0.0036,                0.52941,                0.00395,                0.00101,                 2.8713,                 5.0703,                0.92816,              0.0010347,              0.0010347,              0.0010347
                      8,                 2.9906,                 4.5966,                0.93965,                 0.0044,                0.64706,                0.00667,                0.00215,                 2.5332,                 4.5639,                0.88791,              0.0011727,              0.0011727,              0.0011727
                      9,                 2.9395,                  4.356,                0.97089,                0.00427,                0.62745,                 0.0208,                 0.0048,                 2.9852,                  4.816,                0.93494,              0.0013075,              0.0013075,              0.0013075
                     10,                 2.9954,                 4.1291,                0.97771,                 0.0044,                0.64706,                0.18666,                0.04103,                 3.0449,                 4.2966,                0.94289,              0.0014392,              0.0014392,              0.0014392
                     11,                 2.9937,                 4.5459,                0.96784,                0.00547,                0.80392,                0.44111,                0.11571,                 2.5618,                 3.6795,                0.90754,              0.0015677,              0.0015677,              0.0015677
                     12,                 2.9184,                 4.1592,                0.94884,                0.00582,                0.84314,                0.19709,                0.04599,                 2.6942,                 3.9686,                0.89877,              0.0016931,              0.0016931,              0.0016931
                     13,                 2.9688,                 3.7507,                0.94798,                 0.0052,                0.76471,                0.47643,                0.12644,                 2.6254,                 3.6052,                0.89566,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.8308,                 3.5951,                0.93993,                0.00387,                0.56863,                0.18031,                0.05617,                 2.9909,                 3.8701,                0.98071,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.9228,                 3.6603,                0.97709,                0.01048,                0.70588,                0.27104,                0.08185,                 2.6817,                 3.6823,                0.92519,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.9934,                  4.011,                0.95437,                 0.3711,                0.62745,                0.48497,                0.15581,                  2.467,                 3.2144,                0.88543,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.8819,                 3.4717,                0.95093,                0.37978,                0.54037,                0.32304,                0.10007,                 2.6048,                 2.8145,                0.90646,               0.001703,               0.001703,               0.001703
                     18,                 2.7445,                 2.9733,                0.91842,                 0.2472,                0.21569,                0.19498,                0.04024,                 2.9507,                 3.2358,                0.96331,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.7373,                 2.8585,                0.92443,                0.00578,                0.58824,                0.04574,                0.00907,                 3.2898,                 3.6414,                 1.0227,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.8632,                 2.9484,                0.94559,                0.00537,                0.60784,                0.04809,                 0.0115,                 3.1949,                 3.8487,                 1.0277,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.8807,                 2.8418,                0.92758,                0.79673,                0.07715,                0.32709,                0.08198,                 3.0534,                 3.1529,                0.98131,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.8554,                 2.8733,                0.94572,                0.00934,                0.64706,                0.31905,                0.08969,                 2.9517,                 3.2323,                0.96332,               0.001604,               0.001604,               0.001604
                     23,                  2.774,                 2.6102,                0.91908,                0.67419,                0.36533,                 0.4462,                0.11728,                  2.942,                 2.5702,                 0.9385,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.7286,                 2.4573,                0.91453,                0.71489,                 0.2461,                0.47033,                0.15229,                 2.7578,                 2.6983,                0.92238,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.8375,                 2.4584,                0.92315,                 0.7223,                0.30622,                0.43734,                0.13881,                 2.7847,                 2.4625,                0.92531,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.7613,                 2.4562,                0.93762,                0.75917,                0.60784,                0.58669,                0.19938,                 2.6343,                 1.7265,                0.91256,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.7207,                 2.3853,                0.90725,                 0.7242,                0.68627,                0.60183,                0.17609,                 2.6518,                 1.7234,                0.90964,               0.001505,               0.001505,               0.001505
                     28,                 2.7537,                 2.5511,                0.91613,                0.69932,                0.64706,                 0.5743,                0.17541,                 2.6739,                 1.6877,                 0.9125,              0.0014852,              0.0014852,              0.0014852
                     29,                 2.7536,                 2.1989,                0.92051,                0.79904,                0.66667,                 0.6618,                0.21779,                 2.5006,                 1.6455,                0.88807,              0.0014654,              0.0014654,              0.0014654
                     30,                 2.8239,                 2.2641,                0.90487,                0.78084,                0.70588,                0.69411,                 0.2243,                 2.3484,                 1.6574,                0.87349,              0.0014456,              0.0014456,              0.0014456
                     31,                 2.7782,                  2.305,                0.91283,                0.64952,                0.65416,                0.62273,                0.19786,                  2.491,                 1.7605,                   0.88,              0.0014258,              0.0014258,              0.0014258
                     32,                 2.6027,                 2.0814,                0.93211,                0.78432,                 0.7451,                0.69952,                0.21053,                 2.3968,                 1.7427,                 0.8755,               0.001406,               0.001406,               0.001406
                     33,                 2.6403,                  2.118,                0.91091,                0.61284,                0.58974,                0.52811,                0.16081,                  2.464,                 1.9822,                0.87709,              0.0013862,              0.0013862,              0.0013862
                     34,                  2.626,                 2.0645,                0.91267,                0.67797,                0.62745,                0.62456,                0.19598,                 2.3961,                 1.9532,                0.87053,              0.0013664,              0.0013664,              0.0013664
                     35,                 2.7411,                 1.9428,                0.91997,                0.73243,                0.66667,                0.68438,                0.21904,                 2.3481,                  1.654,                 0.8686,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.5887,                 1.8627,                0.91366,                0.78427,                0.42779,                0.58821,                0.16348,                 2.5204,                 2.2681,                0.87803,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.7497,                 1.8481,                0.93319,                 0.8216,                0.66667,                0.67981,                0.17387,                  2.523,                 1.6643,                0.88197,               0.001307,               0.001307,               0.001307
                     38,                 2.6692,                 2.0282,                0.90832,                0.74604,                0.69128,                0.66978,                0.23164,                 2.2852,                 1.5069,                0.85611,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.7816,                 1.8937,                0.91745,                0.72738,                0.66667,                0.64865,                0.21693,                 2.3255,                 1.5556,                0.85773,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.5795,                 1.8415,                0.90951,                0.75554,                 0.6666,                0.68152,                0.20777,                 2.3944,                 1.6337,                0.86727,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.5684,                 1.8725,                0.88987,                0.67023,                0.59787,                0.57374,                0.18348,                 2.4907,                 1.7123,                0.88924,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.5729,                 1.6994,                0.90472,                0.69609,                0.60784,                0.59952,                0.17009,                 2.5968,                 1.7587,                 0.9133,               0.001208,               0.001208,               0.001208
                     43,                  2.609,                 1.8175,                 0.8937,                0.69333,                0.66667,                0.68358,                0.22888,                 2.3007,                 1.5943,                0.88393,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.7007,                 1.7911,                0.91039,                0.72099,                0.65879,                0.65013,                0.21784,                 2.3114,                 1.6489,                0.88235,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.5336,                 1.6371,                0.92947,                 0.5624,                0.50409,                0.39803,                 0.1072,                 2.8814,                 1.7478,                0.95878,              0.0011486,              0.0011486,              0.0011486
                     46,                 2.5991,                 1.6605,                0.90463,                 0.6256,                0.52941,                0.44143,                0.12413,                 2.8367,                 1.6447,                0.95186,              0.0011288,              0.0011288,              0.0011288
                     47,                 2.5098,                 1.6369,                0.88982,                0.60654,                0.47059,                0.40824,                0.10478,                 2.9193,                 1.6625,                0.96598,               0.001109,               0.001109,               0.001109
                     48,                 2.4565,                    1.6,                0.86663,                0.58946,                 0.5098,                   0.43,                0.11877,                 2.7573,                 1.7208,                0.94113,              0.0010892,              0.0010892,              0.0010892
                     49,                 2.5494,                  1.632,                 0.9027,                0.70486,                0.60784,                0.59837,                0.20467,                 2.3624,                 1.5376,                0.88005,              0.0010694,              0.0010694,              0.0010694
                     50,                 2.4873,                 1.5783,                0.91204,                0.78747,                0.68627,                0.68475,                0.23483,                 2.2533,                 1.5878,                0.86672,              0.0010496,              0.0010496,              0.0010496
                     51,                 2.5155,                 1.5649,                0.88088,                0.86743,                0.72549,                0.73153,                0.25554,                 2.2502,                 1.5101,                0.86373,              0.0010298,              0.0010298,              0.0010298
                     52,                 2.5668,                 1.5432,                0.89215,                0.90015,                 0.7071,                0.78419,                0.27103,                 2.2855,                  1.425,                0.85856,                0.00101,                0.00101,                0.00101
                     53,                 2.5126,                 1.6502,                0.89333,                0.80109,                0.62745,                0.71804,                0.26607,                 2.2861,                 1.7055,                0.86351,              0.0009902,              0.0009902,              0.0009902
                     54,                 2.4873,                 1.5494,                0.91494,                0.76456,                0.52941,                0.69367,                 0.2164,                 2.3235,                  1.875,                 0.8714,              0.0009704,              0.0009704,              0.0009704
                     55,                 2.5297,                 1.5583,                0.86964,                0.73344,                0.53965,                0.62014,                0.21537,                 2.3824,                 1.7099,                0.87041,              0.0009506,              0.0009506,              0.0009506
                     56,                 2.5585,                 1.5788,                0.88161,                0.68915,                0.56518,                0.58023,                0.17377,                 2.6289,                 1.5686,                0.88495,              0.0009308,              0.0009308,              0.0009308
                     57,                 2.5444,                 1.4656,                 0.8952,                0.80344,                0.64706,                0.66885,                0.20666,                 2.4512,                 1.3559,                0.88024,               0.000911,               0.000911,               0.000911
                     58,                 2.3527,                 1.5168,                0.88248,                0.42396,                0.45098,                0.23113,                0.05442,                 3.2641,                 1.6213,                 1.0089,              0.0008912,              0.0008912,              0.0008912
                     59,                 2.7067,                 1.6822,                0.88987,                0.47612,                0.45098,                0.29843,                0.06498,                 3.2591,                 1.5965,                0.99993,              0.0008714,              0.0008714,              0.0008714
                     60,                 2.4533,                 1.4963,                0.90764,                0.60792,                0.57774,                0.46966,                0.09815,                 3.0039,                 1.5946,                0.95737,              0.0008516,              0.0008516,              0.0008516
                     61,                  2.527,                 1.4773,                0.90177,                0.66166,                0.64706,                0.56999,                0.15525,                 2.7027,                 1.5181,                0.91183,              0.0008318,              0.0008318,              0.0008318
                     62,                  2.495,                 1.4646,                0.88401,                0.73876,                0.68627,                0.62999,                0.23609,                 2.3583,                 1.4484,                0.87289,               0.000812,               0.000812,               0.000812
                     63,                 2.3135,                 1.7433,                0.85417,                0.84642,                 0.7451,                0.75193,                0.27301,                 2.3594,                 1.3554,                0.86617,              0.0007922,              0.0007922,              0.0007922
                     64,                 2.4338,                 1.4527,                 0.8889,                0.74228,                0.62745,                0.59589,                0.17115,                 2.7419,                  1.542,                 0.9192,              0.0007724,              0.0007724,              0.0007724
                     65,                 2.4541,                  1.483,                0.89209,                0.71978,                0.50377,                0.53309,                0.13648,                 2.9615,                 1.5674,                 0.9589,              0.0007526,              0.0007526,              0.0007526
                     66,                 2.2725,                 1.3491,                0.87788,                0.78529,                0.66667,                 0.6594,                0.23432,                 2.4842,                  1.348,                0.89331,              0.0007328,              0.0007328,              0.0007328
                     67,                 2.3559,                 1.4626,                0.87952,                 0.7678,                0.70588,                0.69409,                0.24987,                 2.3678,                 1.2991,                0.87642,               0.000713,               0.000713,               0.000713
                     68,                 2.4176,                 1.4385,                0.88968,                0.78671,                0.64706,                0.69716,                0.25758,                 2.2891,                 1.4013,                0.87072,              0.0006932,              0.0006932,              0.0006932
                     69,                 2.4159,                 1.3148,                0.89572,                0.68385,                0.59386,                0.63031,                0.22053,                  2.314,                 1.5778,                0.86735,              0.0006734,              0.0006734,              0.0006734
                     70,                 2.3928,                  1.378,                0.88209,                0.67218,                0.54902,                0.56139,                 0.1803,                 2.4654,                 1.5731,                0.87747,              0.0006536,              0.0006536,              0.0006536
                     71,                 2.5049,                 1.4265,                0.88513,                0.62853,                0.56863,                0.56942,                0.17775,                    2.5,                 1.5754,                0.88362,              0.0006338,              0.0006338,              0.0006338
                     72,                 2.4168,                 1.2902,                0.89465,                0.62516,                0.60784,                0.59986,                0.21146,                 2.3193,                 1.5747,                0.86704,               0.000614,               0.000614,               0.000614
                     73,                 2.3903,                  1.334,                0.88482,                0.70655,                0.60784,                0.69897,                0.23329,                 2.2388,                  1.579,                0.85893,              0.0005942,              0.0005942,              0.0005942
                     74,                 2.3807,                 1.3284,                0.88121,                0.73996,                0.60784,                0.64487,                0.24256,                 2.2182,                 1.5441,                0.85934,              0.0005744,              0.0005744,              0.0005744
                     75,                 2.3565,                 1.2667,                0.86675,                0.75419,                0.62745,                 0.6163,                0.21712,                 2.3129,                 1.4493,                0.86819,              0.0005546,              0.0005546,              0.0005546
                     76,                 2.4041,                 1.3203,                0.88311,                0.71101,                0.66667,                0.65811,                   0.24,                 2.2334,                 1.4438,                 0.8612,              0.0005348,              0.0005348,              0.0005348
                     77,                 2.2384,                 1.3587,                0.87089,                0.73825,                0.60784,                0.63901,                0.22217,                 2.3243,                 1.7049,                0.86691,               0.000515,               0.000515,               0.000515
                     78,                 2.2748,                 1.2746,                0.88491,                0.81079,                0.58816,                0.67587,                0.22832,                 2.3235,                 1.8231,                0.86647,              0.0004952,              0.0004952,              0.0004952
                     79,                 2.2799,                 1.2406,                 0.8868,                0.78183,                0.60784,                0.65926,                0.23396,                 2.2512,                 1.7078,                0.85874,              0.0004754,              0.0004754,              0.0004754
                     80,                  2.294,                 1.3385,                 0.8724,                0.79828,                0.66667,                0.73526,                0.25822,                 2.2561,                 1.5493,                0.85886,              0.0004556,              0.0004556,              0.0004556
                     81,                 2.1891,                 1.2841,                0.88556,                 0.7989,                0.64706,                0.71682,                0.26584,                 2.2633,                 1.4999,                0.86091,              0.0004358,              0.0004358,              0.0004358
                     82,                 2.3007,                 1.2479,                 0.8669,                0.79359,                0.62745,                0.72845,                0.26496,                 2.3001,                 1.5757,                 0.8655,               0.000416,               0.000416,               0.000416
                     83,                 2.3273,                 1.2929,                 0.8716,                 0.7443,                0.60784,                0.65793,                0.23867,                 2.3444,                 1.5889,                0.87059,              0.0003962,              0.0003962,              0.0003962
                     84,                 2.2582,                 1.2423,                0.86029,                0.76676,                0.58027,                0.60988,                0.22047,                 2.4043,                 1.6399,                0.87505,              0.0003764,              0.0003764,              0.0003764
                     85,                 2.2166,                 1.2796,                0.84651,                0.76004,                0.56863,                0.61395,                0.23528,                 2.3146,                 1.6253,                 0.8622,              0.0003566,              0.0003566,              0.0003566
                     86,                 2.1499,                 1.2017,                0.85734,                 0.7621,                0.60784,                0.66067,                0.24854,                 2.2189,                 1.5008,                0.84899,              0.0003368,              0.0003368,              0.0003368
                     87,                 2.1803,                 1.1623,                0.86073,                0.76618,                0.60784,                0.66826,                0.24833,                  2.162,                 1.4485,                 0.8475,               0.000317,               0.000317,               0.000317
                     88,                 2.3809,                 1.2802,                0.87896,                0.77422,                0.67245,                0.72594,                0.24534,                 2.1909,                 1.4398,                0.85091,              0.0002972,              0.0002972,              0.0002972
                     89,                 2.1496,                 1.1861,                 0.8856,                0.77726,                0.56863,                0.67138,                0.23121,                 2.2873,                 1.5383,                0.86157,              0.0002774,              0.0002774,              0.0002774
                     90,                 2.2188,                 1.1238,                0.87265,                0.74933,                0.54902,                0.60836,                0.22381,                  2.319,                 1.6914,                0.86046,              0.0002576,              0.0002576,              0.0002576
                     91,                 2.3159,                 1.4011,                0.88791,                0.76607,                0.58824,                0.63542,                0.23452,                 2.3171,                 1.5743,                0.85841,              0.0002378,              0.0002378,              0.0002378
                     92,                 2.1397,                 1.2733,                0.87397,                0.76558,                0.66667,                0.64642,                 0.2316,                  2.339,                 1.4338,                0.86112,               0.000218,               0.000218,               0.000218
                     93,                 2.2103,                 1.2345,                0.87009,                  0.846,                 0.6463,                0.70657,                0.24094,                 2.2771,                 1.4393,                0.85877,              0.0001982,              0.0001982,              0.0001982
                     94,                   2.23,                 1.2557,                0.87997,                0.79408,                0.68059,                0.71597,                0.25029,                 2.2291,                 1.4474,                0.85141,              0.0001784,              0.0001784,              0.0001784
                     95,                 2.1078,                 1.2754,                0.84749,                0.82055,                0.71737,                0.75108,                0.26721,                 2.2097,                 1.4206,                0.84914,              0.0001586,              0.0001586,              0.0001586
                     96,                 2.1323,                 1.1899,                0.89063,                  0.821,                0.72549,                 0.7492,                0.27328,                 2.2046,                 1.3982,                0.84881,              0.0001388,              0.0001388,              0.0001388
                     97,                 2.2469,                 1.2674,                0.86169,                0.83846,                0.72549,                0.74268,                0.27086,                 2.2188,                  1.406,                0.85022,               0.000119,               0.000119,               0.000119
                     98,                 2.0195,                  1.163,                0.86206,                0.82695,                0.70588,                0.71296,                0.25894,                 2.2359,                 1.4039,                0.85119,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 2.0763,                 1.2341,                 0.8852,                0.80896,                0.70588,                 0.7053,                0.26252,                  2.251,                 1.4008,                0.85162,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 2.1731,                 1.2896,                0.87673,                0.79985,                0.70588,                0.69886,                0.25837,                  2.266,                 1.4086,                0.85211,               5.96e-05,               5.96e-05,               5.96e-05
